TIN,Purchase Object
317317663,поставка тепловой энергия теплоноситель
317317670,подача тепловой энергия теплоноситель
317317688,оказание услуга теплоснабжение горячее водоснабжение пмс303 подача тепловой
317741939,услуга оказание объект сп нижнеангарск уланудэнский подача тепловой
318008361,медицинский осмотр услуга проведение оказание работник периодический предрейсовый
318016002,
323012571,
323017192,
323048828,
323060582,
323096170,оказание услуга город организация проведение праздничный концерт посвятить
323107142,автобус предоставление похоронный обслуживание оказание услуга транспортный средство
323121940,
323349582,услуга оказание ребёнок год нужда гбуз городской больница
323825390,
326009016,
326023564,
400002820,
411004749,
411014585,
522016027,
524007564,
542019040,
570006131,тепловой энергия поставка теплоснабжение район махачкала подача горячее
571000541,оказание услуга тс1 аэропорт махачкала авиационный поставка топливо
572005870,
603015367,
608014060,поставка электронный табло библиотека
702009100,спирт поставка этиловый ректификованный открытый форма нужда электронный
710057756,услуга канатный дорога подъём обучение военнослужащий министерство оборона
711044742,
726006355,
813000060,поставка кровать односпальный
813900417,ремонт пожарный автомобиль марка рамка гоз зил финансирование
816005116,оказание услуга калмыкия республика федеральный изготовление региональный управление
816021157,
816028120,
901016976,исследование проведение услуга оказание цитологический мазок томография расшифровка
917006606,
917012511,искусственный освещение 10 кв ул строительство объект пкио
1001013117,работа уличный освещение выполнение технический городской поселение текущий
1001040054,
1001041315,
1001041594,услуга оказание медицинский осмотр работа проведение периодический выполнение
1001046786,бухгалтерский оказание услуга ведение учёт нужда налоговый составление
1001249017,тепловой энергия теплоснабжение филиал подача объект мощность теплоноситель
1001338940,
1001340266,патрульный теплоход выполнение работа оказание услуга судный город
1002001097,
1003000427,кондопожский район муниципальный выполнение работа ликвидация несанкционированный свалка
1013003265,
1013004283,работа ремонт выполнение дорога автодорога текущий ул дом
1101031945,оказание услуга проведение предрейсовый послерейсовый медицинский осмотр водитель
1101056139,передача земля полномочие единоличный исполнительный орган управлять организация
1101068261,выполнение работа тп объект г сыктывкар капитальный ремонт
1101205461,тепловой энергия далее услуга п коми район республика
1101301856,электрический энергия поставка оказание услуга сыктывкар закупка ухта
1101471400,
1101471495,
1101486861,
1101487086,проведение осмотр оказание услуга профилактический несовершеннолетний медицинский ребёнок
1101487230,врач оказание медицинский пациент гбуз рк республиканский больница
1102007134,оказание услуга исследование выполнение проведение бактериологический гистологический лабораторный
1102016594,оказание обучение услуга программа работник транснефть образовательный лот
1102024570,аренда земельный участок коми филиал кадастровый ухта выполнение
1102025359,газ природный поставка горючий обязываться поставщик поставлять 01012018
1102054991,услуга оказание заключение договор нужда филиал тепловой право
1102063869,
1103006077,тепловой энергия поставка оказание услуга теплоснабжение горячее водоснабжение
1106014140,жилой приобретение помещение жилищный фонд вновь построить многоквартирный
1106024691,тепловой энергия выполнение работа гидропневмопромывка внутренний система отопление
1106025938,
1108015607,
1108016382,
1112005577,район тепловой энергия филиал коми прилузский нужда федеральный
1116008650,тепловой энергия нужда филиал коми устьвымский район вода
1200000730,
1205000518,
1210000619,
1213001297,
1215021281,государственный услуга оказание повышение квалификация программа образовательный республика
1215038172,услуга медицинский оказание осмотр проведение работник республика марий
1215070842,
1215098862,
1215139269,медицинский услуга осмотр проведение оказание предрейсовый водитель республика
1215154154,км автомобильный дорога ремонт участок общий пользование республиканский
1215162116,
1216002595,
1218003026,оказание услуга проживание питание студент рамка летний школа
1300000155,
1300000807,оказание услуга поставка день предоставление подарочный набор товарный
1302063070,
1308082103,сеть выполнение работа уличный освещение территория зубовополянский городской
1308082270,
1314002410,
1323010103,поставка изготовление изделие монтажный тракт комплектующие нужда ковылкинский
1326185831,теплоснабжение г сеть саранск оао закупка жилой услуга
1326188582,
1326218607,выполнение работа связанный осуществление регулярный перевозка пассажир багаж
1327004453,лампа поставка пж нужда аукцион электронный форма договор
1327030735,поставка лампа электротехнический продукция проведение пусконаладочный работа республика
1328015017,закупка овощ свежий консервированный картофель продукция капуста томат
1328016109,закупка овощ свежий продукт питание томат огурец консервированный
1328159925,образование оказание услуга программа обучение очный форма студент
1414007933,перевозка навигация год организация груз нефтепродукт услуга 2017
1414017258,оказание услуга груз ленский речной порт переработка хранение
1419005312,
1429006594,услуга перевозка груз
1431001843,поставка мягкий инвентарь гбу црб постельный бельё спецодежда
1433000147,км дорога услуга приобретение путёвка автомобильный лагерь отдых
1433014654,газ поставка природный место обслуживание распределительный газопровод пгб
1433015048,лот вл220 кв вгэс3 подстанция районный аренда услуга
1433017567,
1433017863,поставка питание мирнинский район продукт представительский нужда администрация
1433020312,аренда земельный участок квм получение площадь г мирный
1433020320,удачный г услуга помещение республика саха якутия город
1433020506,
1434031363,тепловой энергия поставка вода мощность горячий теплоноситель сеть
1434043023,профессиональный оказание услуга гражданин образовательный обучение возраст профессия
1435004700,
1435026990,услуга оказание договор санитарный обработка использование дезинфицировать средство
1435028701,аэропорт энергоснабжение филиал фкп север 16 ценовый категория
1435029085,оказание услуга водный транспорт перевозка груз навигация год
1435032049,поставка ао сахатранснефтегаз метанол технический гост 222295 газовый
1435035057,услуга оказание этнологический традиционный этап якутия проведение компрессорный
1435039862,оказание услуга протез перевозка гбу рс я якутский
1435048232,восстановление асфальтобетонный покрытие прокладка сеть объект замена участок
